state,zip_code,county,city
470d20ee-2c88-448f-b012-36512f3dbfc7,90638,Los Angeles,La mirada
470d20ee-2c88-448f-b012-36512f3dbfc7,90640,Los Angeles,Montebello
470d20ee-2c88-448f-b012-36512f3dbfc7,90650,Los Angeles,Norwalk
470d20ee-2c88-448f-b012-36512f3dbfc7,90660,Los Angeles,Pico rivera
470d20ee-2c88-448f-b012-36512f3dbfc7,90670,Los Angeles,Santa fe springs
470d20ee-2c88-448f-b012-36512f3dbfc7,90680,Orange,Stanton
470d20ee-2c88-448f-b012-36512f3dbfc7,906HH,Los Angeles,Zcta 906hh
470d20ee-2c88-448f-b012-36512f3dbfc7,90701,Los Angeles,Cerritos
470d20ee-2c88-448f-b012-36512f3dbfc7,90703,Los Angeles,Cerritos
470d20ee-2c88-448f-b012-36512f3dbfc7,90704,Los Angeles,Avalon
470d20ee-2c88-448f-b012-36512f3dbfc7,90706,Los Angeles,Bellflower
470d20ee-2c88-448f-b012-36512f3dbfc7,90710,Los Angeles,Harbor city
470d20ee-2c88-448f-b012-36512f3dbfc7,90712,Los Angeles,Lakewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90713,Los Angeles,Lakewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90715,Los Angeles,Lakewood
470d20ee-2c88-448f-b012-36512f3dbfc7,90716,Los Angeles,Hawaiian gardens
470d20ee-2c88-448f-b012-36512f3dbfc7,90717,Los Angeles,Rancho palos ver
470d20ee-2c88-448f-b012-36512f3dbfc7,90720,Orange,Rossmoor
470d20ee-2c88-448f-b012-36512f3dbfc7,90723,Los Angeles,Paramount
470d20ee-2c88-448f-b012-36512f3dbfc7,90731,Los Angeles,San pedro
470d20ee-2c88-448f-b012-36512f3dbfc7,90732,Los Angeles,Rancho palos ver
470d20ee-2c88-448f-b012-36512f3dbfc7,90740,Orange,Seal beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90742,Orange,Sunset beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90743,Orange,Surfside
470d20ee-2c88-448f-b012-36512f3dbfc7,90744,Los Angeles,Wilmington
470d20ee-2c88-448f-b012-36512f3dbfc7,90745,Los Angeles,Carson
470d20ee-2c88-448f-b012-36512f3dbfc7,90746,Los Angeles,Carson
470d20ee-2c88-448f-b012-36512f3dbfc7,907HH,Los Angeles,Zcta 907hh
470d20ee-2c88-448f-b012-36512f3dbfc7,907XX,Los Angeles,Zcta 907xx
470d20ee-2c88-448f-b012-36512f3dbfc7,90802,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90803,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90804,Los Angeles,Signal hill
470d20ee-2c88-448f-b012-36512f3dbfc7,90805,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90806,Los Angeles,Signal hill
470d20ee-2c88-448f-b012-36512f3dbfc7,90807,Los Angeles,Signal hill
470d20ee-2c88-448f-b012-36512f3dbfc7,90808,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90810,Los Angeles,Carson
470d20ee-2c88-448f-b012-36512f3dbfc7,90813,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90814,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90815,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,90822,Los Angeles,Long beach
470d20ee-2c88-448f-b012-36512f3dbfc7,908HH,Los Angeles,Zcta 908hh
470d20ee-2c88-448f-b012-36512f3dbfc7,91001,Los Angeles,Altadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91006,Los Angeles,Arcadia
470d20ee-2c88-448f-b012-36512f3dbfc7,91007,Los Angeles,Arcadia
470d20ee-2c88-448f-b012-36512f3dbfc7,91010,Los Angeles,Bradbury
470d20ee-2c88-448f-b012-36512f3dbfc7,91011,Los Angeles,Flintridge
470d20ee-2c88-448f-b012-36512f3dbfc7,91016,Los Angeles,Monrovia
470d20ee-2c88-448f-b012-36512f3dbfc7,91020,Los Angeles,Montrose
470d20ee-2c88-448f-b012-36512f3dbfc7,91024,Los Angeles,Sierra madre
470d20ee-2c88-448f-b012-36512f3dbfc7,91030,Los Angeles,South pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91040,Los Angeles,Shadow hills
470d20ee-2c88-448f-b012-36512f3dbfc7,91042,Los Angeles,Tujunga
470d20ee-2c88-448f-b012-36512f3dbfc7,910HH,Los Angeles,Zcta 910hh
470d20ee-2c88-448f-b012-36512f3dbfc7,910XX,Los Angeles,Zcta 910xx
470d20ee-2c88-448f-b012-36512f3dbfc7,91101,Los Angeles,Pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91103,Los Angeles,Pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91104,Los Angeles,Pasadena
470d20ee-2c88-448f-b012-36512f3dbfc7,91105,Los Angeles,Pasadena
